,Epoch,Batch,Train Loss,Val Loss,Val Acc,Elapsed
0,0.0,10.0,1.1053287115964023,1.0837939559367664,39.583333333333336,48.165687084198
1,0.0,20.0,1.0721711039543151,1.0245305101076763,52.083333333333336,41.58343005180359
2,0.0,30.0,0.9602243661880493,0.8908866476594356,61.95175438596491,42.10133409500122
3,0.0,40.0,0.8692161619663239,0.8521056415741903,58.88157894736842,41.92243981361389
4,0.0,50.0,0.8245087921619415,1.0011525405080695,51.31578947368421,41.38531494140625
5,0.0,60.0,0.9421767115592956,0.9056222010077092,58.333333333333336,41.48792481422424
6,0.0,70.0,0.8748155117034913,0.8318862141224376,62.5,41.34818172454834
7,0.0,80.0,0.7363065719604492,0.8363264893230639,60.526315789473685,41.45241570472717
8,0.0,90.0,0.7647084712982177,0.8033899215229771,63.26754385964912,41.424325942993164
9,0.0,100.0,0.5808706611394883,0.7988198676653075,64.3640350877193,41.476401567459106
10,0.0,110.0,0.7969025850296021,0.8458337344621357,62.719298245614034,41.49508261680603
11,0.0,120.0,0.7687505841255188,0.7886803139720047,65.13157894736842,41.50976061820984
12,0.0,130.0,0.709061861038208,0.8037464932391518,62.171052631578945,41.55845642089844
13,0.0,140.0,0.8188041985034943,0.8064525420205635,63.59649122807018,41.39690613746643
14,0.0,150.0,0.8132201433181763,0.8622206930528608,60.6359649122807,41.38091516494751
15,0.0,160.0,0.7555036306381225,0.8202061705421984,62.171052631578945,41.495577335357666
16,0.0,170.0,0.728701913356781,0.7832621524208471,64.14473684210526,41.5330924987793
17,0.0,180.0,0.7274381220340729,0.7676106471764413,65.35087719298245,41.33621120452881
18,0.0,190.0,0.728631341457367,0.7621988068547165,65.89912280701755,41.48505735397339
19,0.0,200.0,0.7564474105834961,0.8230490815221218,63.70614035087719,41.58119797706604
20,0.0,210.0,0.7549031645059585,0.7756989661015963,66.00877192982456,41.58386564254761
21,0.0,220.0,0.7629308819770813,0.7597576588915106,64.58333333333333,41.70282053947449
22,0.0,230.0,0.6622784733772278,0.7696635796312701,64.80263157894737,40.534395933151245
23,0.0,240.0,0.6828541934490204,0.7921105393192225,64.3640350877193,40.89325523376465
24,0.0,250.0,0.6879276633262634,0.7849915749148318,65.5701754385965,40.36627149581909
25,0.0,260.0,0.7353051424026489,0.8041238931187412,61.62280701754386,40.101457834243774
26,0.0,270.0,0.5855265110731125,0.8270630731917264,60.85526315789474,6.347827911376953
27,1.0,280.0,0.5030973038890145,0.7958397060109857,64.14473684210526,47.20780944824219
28,1.0,290.0,0.469353586435318,0.8301026758394743,65.0219298245614,40.752702474594116
29,1.0,300.0,0.41109796464443205,0.8881309806254872,63.81578947368421,40.70983362197876
30,1.0,310.0,0.4268397852778435,0.8570156348379034,64.14473684210526,40.568755865097046
31,1.0,320.0,0.39221332520246505,0.8715859076433015,64.80263157894737,40.93682646751404
32,1.0,330.0,0.4118424952030182,0.8866503087052128,65.6798245614035,41.18139433860779
33,1.0,340.0,0.39322937428951266,0.9089404009936148,63.1578947368421,41.41267371177673
34,1.0,350.0,0.3941740944981575,0.8766060617932102,64.03508771929825,40.635173082351685
35,1.0,360.0,0.3650347426533699,0.881109987434588,64.91228070175438,41.09479737281799
36,1.0,370.0,0.38274436816573143,0.9377212571470361,62.5,41.1935396194458
37,1.0,380.0,0.37008769661188123,0.9180096549945965,64.80263157894737,41.23254895210266
38,1.0,390.0,0.37654135599732397,0.9180783564061449,64.3640350877193,41.03420305252075
39,1.0,400.0,0.3752061814069748,0.8955690936561216,63.37719298245614,41.10842227935791
40,1.0,410.0,0.3186370551586151,0.8994568706604472,62.93859649122807,40.79226112365723
41,1.0,420.0,0.3280984044075012,0.8978094306954166,63.26754385964912,40.84014344215393
42,1.0,430.0,0.3152433194220066,0.8881021894906697,65.24122807017544,40.351110219955444
43,1.0,440.0,0.3103207744657993,0.8963507387721747,65.89912280701755,40.80635118484497
44,1.0,450.0,0.3494126245379448,0.9109829972710526,65.5701754385965,40.91467833518982
45,1.0,460.0,0.38286044225096705,0.9041182288998052,65.24122807017544,41.1439049243927
46,1.0,470.0,0.3997832916676998,0.9063771340930671,64.47368421052632,41.02592706680298
47,1.0,480.0,0.42179730385541914,0.9082180334810626,63.59649122807018,41.118664264678955
48,1.0,490.0,0.24758026748895645,0.9147660146679795,63.925438596491226,41.203495264053345
49,1.0,500.0,0.3429313004016876,0.9241409667751246,64.25438596491227,40.77590894699097
50,1.0,510.0,0.4704695962369442,0.9254406026580877,64.14473684210526,40.97360014915466
51,1.0,520.0,0.38584466427564623,0.9024057372620231,65.24122807017544,41.025846004486084
52,1.0,530.0,0.36931587755680084,0.9204056947900537,64.14473684210526,41.37217736244202
53,1.0,540.0,0.6066586375236511,0.9169044688082578,64.47368421052632,6.421965599060059
